56,85,124,175,235,305,379,453,521,575,611,623,611,575,521,453,379,305,235,175,124,85,56
85,129,189,265,357,462,575,688,791,875,928,947,928,875,791,688,575,462,357,265,189,129,85
124,189,275,386,521,675,840,1005,1156,1277,1355,1383,1355,1277,1156,1005,840,675,521,386,275,189,124
175,265,386,543,731,947,1179,1411,1622,1791,1903,1940,1903,1791,1622,1411,1179,947,731,543,386,265,175
235,357,521,731,985,1277,1590,1903,2187,2416,2565,2617,2565,2416,2187,1903,1590,1277,985,731,521,357,235
305,462,675,947,1277,1654,2060,2465,2834,3130,3323,3391,3323,3130,2834,2465,2060,1654,1277,947,675,462,305
379,575,840,1179,1590,2060,2565,3069,3529,3898,4138,4222,4138,3898,3529,3069,2565,2060,1590,1179,840,575,379
453,688,1005,1411,1903,2465,3069,3672,4222,4665,4952,5051,4952,4665,4222,3672,3069,2465,1903,1411,1005,688,453
521,791,1156,1622,2187,2834,3529,4222,4853,5363,5693,5808,5693,5363,4853,4222,3529,2834,2187,1622,1156,791,521
575,875,1277,1791,2416,3130,3898,4665,5363,5924,6290,6416,6290,5924,5363,4665,3898,3130,2416,1791,1277,875,575
611,928,1355,1903,2565,3323,4138,4952,5693,6290,6677,6811,6677,6290,5693,4952,4138,3323,2565,1903,1355,928,611
623,947,1383,1940,2617,3391,4222,5051,5808,6416,6811,6948,6811,6416,5808,5051,4222,3391,2617,1940,1383,947,623
611,928,1355,1903,2565,3323,4138,4952,5693,6290,6677,6811,6677,6290,5693,4952,4138,3323,2565,1903,1355,928,611
575,875,1277,1791,2416,3130,3898,4665,5363,5924,6290,6416,6290,5924,5363,4665,3898,3130,2416,1791,1277,875,575
521,791,1156,1622,2187,2834,3529,4222,4853,5363,5693,5808,5693,5363,4853,4222,3529,2834,2187,1622,1156,791,521
453,688,1005,1411,1903,2465,3069,3672,4222,4665,4952,5051,4952,4665,4222,3672,3069,2465,1903,1411,1005,688,453
379,575,840,1179,1590,2060,2565,3069,3529,3898,4138,4222,4138,3898,3529,3069,2565,2060,1590,1179,840,575,379
305,462,675,947,1277,1654,2060,2465,2834,3130,3323,3391,3323,3130,2834,2465,2060,1654,1277,947,675,462,305
235,357,521,731,985,1277,1590,1903,2187,2416,2565,2617,2565,2416,2187,1903,1590,1277,985,731,521,357,235
175,265,386,543,731,947,1179,1411,1622,1791,1903,1940,1903,1791,1622,1411,1179,947,731,543,386,265,175
124,189,275,386,521,675,840,1005,1156,1277,1355,1383,1355,1277,1156,1005,840,675,521,386,275,189,124
85,129,189,265,357,462,575,688,791,875,928,947,928,875,791,688,575,462,357,265,189,129,85
56,85,124,175,235,305,379,453,521,575,611,623,611,575,521,453,379,305,235,175,124,85,56
